n,rn,dn0,dn1,dn2,dn3,dn4
1,385000.509715467000000,1.57079632679489,0.0000000000,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2,-3.148302034314000,4.82660681360912,16866.9323149832,-1.28012330752967E-04,-1.06904325566739E-08,-5.88563808866977E-11
3,-0.000029999998492,8.08241730042334,33733.8646299664,-2.56024661505934E-04,-2.13808651133478E-08,-1.17712761773395E-10
4,0.000379985778491,-2.58527009644674,-25405.1732053429,4.08317069268260E-04,2.72099739268002E-07,-1.11827123684725E-09
5,79.660566479587200,0.67054039036748,-8538.2408903598,2.80304738515293E-04,2.61409306711328E-07,-1.17712761773395E-09
6,-20905.353886310600000,3.92635087718169,8328.6914246235,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
7,-0.103257543184313,7.18216136399592,25195.6237396066,2.42800770093589E-05,2.40028441597980E-07,-1.29484037950734E-09
8,-0.008369736182078,-0.22971554605994,-17076.4817807195,5.60609477030586E-04,5.22818613422657E-07,-2.35425523546790E-09
9,-4.421176895281310,3.02609494075427,-209.5494657363,4.32597146277619E-04,5.12128180865983E-07,-2.41311161635460E-09
10,-569.925086739968000,6.28190542756850,16657.3828492469,3.04584815524652E-04,5.01437748309309E-07,-2.47196799724130E-09
11,-0.001019930861911,9.53771591438272,33524.3151642301,1.76572484771685E-04,4.90747315752635E-07,-2.53082437812799E-09
12,0.000329990104369,2.12583900432685,-8747.7903560961,7.12901884792912E-04,7.73537487577312E-07,-3.59023923408855E-09
13,-0.001110004266334,5.38164949114108,8119.1419588871,5.84889554039945E-04,7.62847055020638E-07,-3.64909561497525E-09
14,-23.210428658329500,8.63745997795530,24986.0742738703,4.56877223286978E-04,7.52156622463964E-07,-3.70795199586195E-09
15,0.000260005173471,11.89327046476950,41853.0065888535,3.28864892534011E-04,7.41466189907290E-07,-3.76680837674865E-09
16,0.000019999998995,4.48139355471366,-419.0989314726,8.65194292555239E-04,1.02425636173196E-06,-4.82622323270920E-09
17,0.000270001715277,7.73720404152788,16447.8333835106,7.37181961802271E-04,1.01356592917529E-06,-4.88507961359590E-09
18,-1.116937005065370,10.99301452834210,33314.7656984938,6.09169631049304E-04,1.00287549661861E-06,-4.94393599448260E-09
19,0.000039999997990,14.24882501515630,50181.6980134770,4.81157300296337E-04,9.92185064061945E-07,-5.00279237536930E-09
20,0.000019999998995,10.09275859191460,24776.5248081340,8.89474369564598E-04,1.26428480332994E-06,-6.12106361221655E-09
21,-0.058880459513568,13.34856907872890,41643.4571231172,7.61462038811630E-04,1.25359437077327E-06,-6.17991999310325E-09
22,-0.003290030953889,15.70412362911570,49972.1485477407,9.13754446573957E-04,1.50431324492792E-06,-7.41590399172390E-09
23,-0.000190001719298,18.05967817950250,58300.8399723641,1.06604685433628E-03,1.75503211908258E-06,-8.65188799034455E-09
24,-0.000109999994472,-12.60565666338240,-49343.8465925266,-9.16418328066865E-04,-1.50369685281376E-06,7.36146426347211E-09
25,-0.001739952388906,-10.25010211299560,-41015.1551679031,-7.64125920304539E-04,-1.25297797865911E-06,6.12548026485146E-09
